,pcid,compName,smile,iupac name
154,11085337,12-alpha-Santalen-14-ol,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,"(Z)-5-[(1S,3R,6R)-2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl]-2-methylpent-2-en-1-ol"
155,6857681,12-beta-Santalen-14-ol,CC(=CCCC1(C2CCC(C2)C1=C)C)CO,"(Z)-2-methyl-5-[(1S,2R,4R)-2-methyl-3-methylidene-2-bicyclo[2.2.1]heptanyl]pent-2-en-1-ol"
156,3018619,12-Methyltridecanal,CC(C)CCCCCCCCCCC=O,12-methyltridecanal
157,5367668,16-Octadecenal,CC=CCCCCCCCCCCCCCCC=O,(E)-octadec-16-enal
158,86278314,"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propane-1,2-diol",C1CC1(C(CN2C=NC=N2)(C(C3=CC=CC=C3Cl)O)O)Cl,"2-(1-chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1,2,4-triazol-1-yl)propane-1,2-diol"
159,86057400,"2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)propane-1,2-diol",C1CC1(C(CC2=CC=CC=C2Cl)(CO)O)Cl,"2-(1-chlorocyclopropyl)-3-(2-chlorophenyl)propane-1,2-diol"
160,6861,2-(1-Naphthyl)acetamide,C1=CC=C2C(=C1)C=CC=C2CC(=O)N,2-naphthalen-1-ylacetamide
161,139595618,2-(2-Oxotetradecanoyl) benzoic acid,CCCCCCCCCCCCC(=O)C(=O)C1=CC=CC=C1C(=O)O,2-(2-oxotetradecanoyl)benzoic acid
162,76962929,"2-(2,2-Difluoroethoxy)-N-(1H-1,2,4-triazol-3-yl)-6-(trifluoromethyl)benzenesulfonamide",C1=CC(=C(C(=C1)OCC(F)F)S(=O)(=O)NC2=NC=NN2)C(F)(F)F,"2-(2,2-difluoroethoxy)-N-(1H-1,2,4-triazol-5-yl)-6-(trifluoromethyl)benzenesulfonamide"
163,15036415,"2-(2,4-Dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol",C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)CO,"2-(2,4-dichlorophenyl)-3-(1,2,4-triazol-1-yl)propan-1-ol"
164,139596039,"2-(2,4-Dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propanoic acid",C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)C(=O)O,"2-(2,4-dichlorophenyl)-3-(1,2,4-triazol-1-yl)propanoic acid"
165,459494,2-(3-Phenylpropyl)pyridine,C1=CC=C(C=C1)CCCC2=CC=CC=N2,2-(3-phenylpropyl)pyridine
166,10393,2-(4-Hydroxyphenyl)ethan-1-ol,C1=CC(=CC=C1CCO)O,4-(2-hydroxyethyl)phenol
167,14529,2-(4-Methylphenyl)propan-2-ol,CC1=CC=C(C=C1)C(C)(C)O,2-(4-methylphenyl)propan-2-ol
168,520098,2-(sec-Butyl)-3-methoxypyrazine,CCC(C)C1=NC=CN=C1OC,2-butan-2-yl-3-methoxypyrazine
169,61771,2-(sec-Butyl)cyclohexanone,CCC(C)C1CCCCC1=O,2-butan-2-ylcyclohexan-1-one
170,67759,2-(Trifluoromethyl) benzamide,C1=CC=C(C(=C1)C(=O)N)C(F)(F)F,2-(trifluoromethyl)benzamide
171,146678280,2-[(2-ethyl-6-methylphenyl) (isopropoxymethyl)amino]-2-oxoethane sulfonic acid,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CS(=O)(=O)O)C,2-[2-ethyl-6-methyl-N-(propan-2-yloxymethyl)anilino]-2-oxoethanesulfonic acid
